Title,Rating,Genre,Description,Release year,Casts,Country
Show Me the Money 5 (2016),Three Stars,"Drama , Game-Show , Music , Korean | Episodes 10+","The format of each season varies, but generally, consists of contestants going head to head in a series of challenges until only one rapper remains. The show includes a mixture of rookie and experienced rappers, with the experienced rappers typically serving as ""producers,"" a role that includes being both mentors and judges. The fifth season of SMTM featured four different producer teams consisting of: AOMG judges Simon Dominic & Gray, YG Entertainmentjudges Kush & Zion T, judges Dok2 & The Quiett of Illionaire Records and Gill & Mad Clown. This season held open auditions in LA for the first time with guest judge Timbaland. It also saw the participation of many popular and well known artists in the Korean hip hop scene as well as notable participants of past seasons such as G2, Reddy, C Jamm, BewhY, Bizniz, Onesun, Jin Doggae, J'Kyun, Xitsuh, Snacky Chan, One, Sanchez, Dayday, Junoflo, Myundo, Super Bee and Flowsik.",,"{'', 'Jung Jae Won\nContestant\nRegular Member', 'Jessi\nFeaturing Guest\nGuest', 'Bobby\nFeaturing Guest\nGuest', 'Microdot\nFeaturing Guest\nGuest', 'Regular Member', 'Sanchez\nContestant\nRegular Member', 'Zion.T\nJudge\nMain Role', 'Seo Chang Bin\nContestant\nRegular Member', 'Jin Jin\nContestant\nRegular Member', 'Jo Seung Yeon\nContestant\nRegular Member', 'Zico\nFeaturing Guest\nGuest', 'Kim Sang Gyun\nContestant\nRegular Member', 'Young B\nContestant\nUnknown', 'Song Min Ho\nFeaturing Guest\nGuest', 'Jay Park\nFeaturing Guest\nGuest', 'Woo Tae Woon\nContestant\nRegular Member'}",Korean
Hate To Love You (2017),Three Stars,"Drama , Comedy , Drama , Romance , Korean | Episodes 120","Eun Jo went through extreme difficulties when she a child. Now as an adult, Eun Jo loses everything. She starts her life anew and tries to find happiness.Eun Jo meets Hong Seok Pyo .",,"{'', 'Support Role', 'Lee Ah Hyun\nDong Mi Ae\nSupport Role', 'Ban Hyo Jung\nSupport Role', 'Park Gi Ho\nDirector', 'Song Ok Sook\nKim Haeng Ja\nSupport Role', 'Kim Yun Kyung\nSupport Role', 'Pyo Ye Jin\nGil Eun Jo\nMain Role', ""Lee Byung Joon\nJung Geun Seob [In Woo's father]\nSupport Role"", 'Director', 'Lee Dong Ha\nByun Boo Shik\nMain Role', 'Lee Sung Yeol\nHong Seok Pyo\nMain Role', 'Kim Hong Soo\nScreenwriter', 'Han Hye Rin\nJung In Woo\nMain Role'}",Korean
Idol Moms (2018),Three Stars,"Drama , Kshow , Korean | Episodes 10","Inspired by popular American program “Dance Moms,” “Idol Moms” will follow the rigorous lives of five mothers with children who want to be idols. Yeom Da Hyun, Kim Nae Oh, Jung Jae Woong, Lee Hyun Jin, and Yoo Chae Young",,{'Kang Ta\nMain Host'},Korean
The Great Seducer (2018),Three & Half Stars,"Drama , Drama , Mature , Melodrama , Romance , Tragedy , Korean | Episodes 32","Kwon Shi Hyun bets his life on a dangerous game to seduce Eun Tae Hee. His target is 20-years-old and believes people that are swayed by love are pathetic. After Eun Tae Hee meets Kwon Shi Hyun, her view on love changes.",,"{'', 'Joy\nEun Tae Hee\nMain Role', 'Support Role', 'Lee Jae Kyoon\nSupport Role', 'Kim Min Jae\nLee Se Joo\nMain Role', 'Moon Ga Young\nChoi Soo Ji\nMain Role', 'Shin Sung Woo\nKwon Suk Woo\nSupport Role', 'Kim Seo Hyung\nKim Bo Yeon\nSupport Role', ""Jun Mi Sun\n[Tae Hee's mother]\nSupport Role"", 'Oh Ha Nee\nSupport Role', ""Jung Ha Dam\nKo Kyung Ju [Tae Hee's best friend]\nSupport Role"", 'Woo Do Hwan\nKwon Shi Hyun\nMain Role'}",Korean
Exit (2018),Two & Half Stars,"Drama , Family , Melodrama , Korean | Episodes 2","His father’s abuse lead to his mother running away from home. Thanks to his father’s crippling debt, he began to work under Hwang Tae Bok (Park Ho San). Happiness wasn’t something that was allowed to him. His only dream is to find his mother and live a happy life. However, this is impossible in his life. No matter how hard he tries, he can’t escape the nightmare of his reality, and when he was about to give up on his life, he sees a flier asking, “Do you want to become happy?” With the smallest inkling of hope, he goes to the research center, so he can experience a bit of happiness. However, he learns that happiness comes at a steep price of 300,000 dollars. He decides to steal the money from Tae Bok. Will he be able to achieve happiness?",,not available,Korean
For the First Time in My Life (2018),Three Stars,"Drama , Game-Show , Kshow , Korean | Episode 20+","Do you have something you’ve always dreamed of doing? It’s never too late to try! The hosts of the show help guest celebrities try one thing they have never done in their lives. As the guest celebrities take a daunting task, they learn more about themselves and broaden perspective.",,not available,Korean
Backflow (2017),Three Stars,"Drama , Comedy , Drama , Romance , Korean | Episodes 120",A drama about the battle between people for love and revenge.,,"{'', ""Ji Eun Sung\nKim Jae Min [In Yeong's younger brother]\nSupport Role"", 'Support Role', 'Jung Sung Mo\nKang Baek San\nSupport Role', 'Yeo Hyang Mi\nSupport Role', 'Shin Da Eun\nKim In Yeong\nMain Role', 'Seo Do Young\nKang Joon Hee\nMain Role', 'Kim Hae In\nChae Yoo Ran\nMain Role', ""Lee Eung Kyung\nYang Soo Kyung [In Yeong's mother]\nSupport Role"", 'Jung Ae Ri\nYeo Hyang Mi\nSupport Role', 'Nam Myung Ryul\nSupport Role', 'Director', 'Lee Jae Hwang\nKang Dong Bin\nMain Role', 'Im Do Yoon\nGong Da Mi\nSupport Role', 'So Hee Jung\nSupport Role', 'Bae Han Chul\nDirector', 'Lee Hyun Kul\nSupport Role'}",Korean
Delicious Map Season 4 (2018),Two Stars,"Drama , Game-Show , Kshow , Korean | Episode 20+","Too many foods to eat, too little time! In order to better assist foodies, the four taste planners joined the show! Their meticulous plan will take viewers to the best hidden gems around the world and offer menus in which different dishes are harmonized in their flavor, texture, and visual as well as in nutritional values.",,not available,Korean
Snail Hotel (2018),Two & Half Stars,"Drama , Drama , Korean | Episodes 2+","Enjoy ‘slow living’ at Snail Hotel and cherish each moment that passes by. Here, every service and accommodation is tailored for the unique needs of each customer who has come to this remote place to take it slow and get in touch with their souls.",,not available,Korean
Should We Kiss First (2018),Three & Half Stars,"Drama , Comedy , Melodrama , Korean | Episode 40","A story of the love lives of four middle-aged adults, who have lost their faith in love. Son Moo Han (Kam Woo Sung) works as a managing director of an advertising company. Meanwhile, Ahn Soon Jin (Kim Sun Ah) lost her daughter unexpectedly and she works as a flight attendant. Eun Kyung Soo (Oh Ji Ho) is Ahn Soon Jin’s ex-husband and his new wife is Baek Ji Min (Park Si Yeon).",,"{'Lee Elliya\nBaek Ah Hyun\nSupport Role', '', 'Kang Shin Hyo\nDirector', 'Yeon Je Hyung\nGye Do Hoon\nSupport Role', 'Support Role', 'Kim Ok Bin\nKim Dan\nMain Role', 'Jo Min Ki\nSupport Role', 'Lee Hyo Jung\nBaek Do Kyu\nSupport Role', 'Kang Ji Hwan\nChun Jae In\nMain Role', 'Ahn Kil Kang\nSupport Role', 'Shim Hee Seop\nMain Role', 'Han Seo Jin\nKim Dan [Young]\nSupport Role'}",Korean
That Man Oh Soo (2018),Three & Half Stars,"Drama , Comedy , Drama , Romance , Korean | Episodes 16","Oh Soo is an IT company technician as well as a cafe owner and barista. He acts as a cupid-like figure with a magic powder, and he and police constable Seo Yu Ri end up falling in love because of it.",,"{'Lee Jong Hyun\nOh Soo\nMain Role', 'Kang Tae Oh\nKim Jin Woo\nSupport Role', 'Yoo Il\nPark Min Ho\nSupport Role', 'Kim Yeon Seo\nSupport Role', 'Kim So Eun\nSeo Yoo Ri\nMain Role'}",Korean
A Man Who Feeds The Dog Season 2 (2017),Three Stars,"Drama , Game-Show , Kshow , Korean | Episodes 100+","For the so-called Homo Solitarius, who feel utterly alone in this hectic world, “A Man Who Feeds the Dog” has come back for its second season. In this season, three hottest celebrities who are nonetheless lonely meet three adorable dogs that will turn their lives upside down. The ultimate expert of pets, Kang Hyung-wook, will guide them through not-so-easy process of getting to know one’s pet.",,not available,Korean
Children of a Lesser God (2018),Three & Half Stars,"Drama , Mystery , Supernatural , Korean | Episode 16","Cheon Jae In is a detective and he is extremely smart. He is guided by only facts, logic and numbers. Kim Dan is a detective. She possesses a superhuman ability involving her vision. They are totally different in personality, but they work together to uncover a conspiracy involving a powerful organization.",,"{'Lee Elliya\nBaek Ah Hyun\nSupport Role', '', 'Kang Shin Hyo\nDirector', 'Yeon Je Hyung\nGye Do Hoon\nSupport Role', 'Support Role', 'Kim Ok Bin\nKim Dan\nMain Role', 'Jo Min Ki\nSupport Role', 'Lee Hyo Jung\nBaek Do Kyu\nSupport Role', 'Kang Ji Hwan\nChun Jae In\nMain Role', 'Ahn Kil Kang\nSupport Role', 'Shim Hee Seop\nMain Role', 'Han Seo Jin\nKim Dan [Young]\nSupport Role'}",Korean
Infinity Challenge (2017),Three Stars,"Drama , Game-Show , Kshow , Korean | Episodes 500+","See for yourself why this show is the king of Korean reality television! “Infinite Challenge” is credited as South Korea’s first real variety show and has enjoyed top ratings in its Saturday night timeslot since it began airing in 2005. The mostly unscripted reality program features the hosts and guests tackling nearly challenges that the show’s hosts promise are “3-D”: dirty, dangerous and difficult! The show features popular hosts Yoo Jae Seok, Park Myung Soo, Jung Joon Ha, Haha and Kwanghee.",,not available,Korean
Mystery Queen Season 2 (2018),Three Stars,"Drama , Comedy , Mystery , Korean | Episode 16","This drama tells the story of a prosecutor’s wife who’s always dreamed of being a detective. After actually solving a case, she ends up in an unlikely crime-fighting duo with a young police captain. Yoo Seol Ok (Choi Kang Hee) like mystery novels and dream to become a detective, but she gave up her dream after marrying and become a housewife with a husband who works as a prosecutor. She then meets Ha Wan Seung (Kwon Sang Woo) who is a passionate detective and they decide to collaborate to solve a case",,"{'Kim Min Sang\nTeam Leader Hwang\nSupport Role', '', 'Oh Min Suk\nDetective Gye\nSupport Role', 'Lee Seong Min\nScreenwriter', 'Kwon Sang Woo\nHa Wan Seung\nMain Role', 'Park Byung Eun\nProfiler Woo Sung Ha\nSupport Role', 'Lee Da Hee\nJung Hee Yeon\nSupport Role', 'Jun Soo Kyung\nSupport Role', 'Min Sung Wook\nSenior Police Officer Kong\nSupport Role', 'Support Role', 'Choi Kang Hee\nYoo Seol Ok\nMain Role', 'Kim Tae Woo\nHa Ji Seung\nSupport Role', 'Jang Yoo Sang\nKim Yi Kyung\nSupport Role', 'Kim Jong Soo\nPolice Superintendent Shin\nSupport Role', 'Kim Hyun Sook\nKim Kyung Mi\nSupport Role', 'Kim Won Hae\nCrime Department Chief Jo\nSupport Role'}",Korean
Let’s Fight Ghost (2016),Three & Half Stars,"Drama , Comedy , Fantasy , Romance , Korean | Episodes 16+","Based on webcomic “Ssauja Gwisina (싸우자 귀신아)” by Im In Seu which was published from 2007-June-04 to 2010-Oct-30 via naver.com (Season 1, Season 2 & Season 3) Kim Hyun Ji (Kim So Hyun) studied for her 19 years before she died in an accident. She is now a ghost and has wandered around the world for several years. Hyun Ji then meets exorcist Park Bong Pal (TaecYeon). Hyun Ji and Bong Pal listens to various stories from ghosts and sends them to the otherworld.",,"{'', 'Kim Sang Ho\nMyung Chul\nSupporting Role', 'Lee Soo Kyung\nSoo Kyung (Ep.9-10)\nGuest Role', ""Son Eun Seo\nHong Myeong Hee [Bong Pal's Mother]\nSupporting Role"", 'Seo Yoon Ah\nNoh Hyeon Joo\nGuest Role', 'Kim Hee Won\n[Fellow Detective]\nGuest Role', 'Seo Hyun Jin\n[Worker at the jewelry store](Ep.13)\nGuest Role', 'Yoon Doo Joon\nGoo Dae Yeong (Ep.16)\nGuest Role', 'Yoon Bong Gil\n[School club president](Wp.10)\nGuest Role', 'Yoon Seo Hyun\nOfficer Yang\nSupporting Role', 'Baek Seo Yi\nIm Seo Yeon\nSupporting Role', 'Ok Taec Yeon\nPark Bong Pal\nMain Role', 'Kim Ji Eun\nFreshman Kim Ji Eun\nGuest Role', ""Lee Jung Eun\n[Head of Residents' Committee](Ep.2)\nGuest Role"", 'Kim So Hyun\nKim Hyun Ji\nMain Role', 'Kwon Yool\nJoo Hye Sung\nMain Role', 'Jung Ji Soon\nDetective Kim\nSupporting Role', 'Lee David\nKim In Rang\nSupporting Role', 'Lee Seung Woo\nPark Bong Pal [Young]\nGuest Role'}",Korean
Eulachacha Waikiki (2018),Three & Half Stars,"Drama , Comedy , Romance , Korean | Episode 20","This drama is about 3 men who run a guest house, “Waikiki” in Itaewon, South Korea. Their guest house is facing bankruptcy and then a mysterious baby and single mother appear at Waikiki. Kang Dong Goo (Kim Jung Hyun) dreams of becoming a movie director, but he is cynical due to bad luck. Meanwhile, Chun Joon Ki (Lee Yi Kyung) wanted to follow in his father’s footsteps and become an actor, but he is now just a minor actor. Bong Doo Sik (Son Seung Won) came to Seoul to become a scenario writer, but things have not been easy for him.",,"{'Kim Jung Hyun\nKang Dong Goo\nMain Role', 'Lee Yi Kyung\nCheon Joon Ki\nMain Role', 'Go Won Hee\nSupport Role', 'Son Seung Won\nBong Doo Shik\nMain Role', 'Jung In Sun\nSupport Role', 'Lee Joo Woo\nMin Soo Ah\nSupport Role'}",Korean
Mystery Queen (2017),Three Stars,"Drama , Comedy , Mystery , Korean | Episodes 16","Yoo Seol Ok liked mystery novels and wanted to become a detective, but she gave up her dream after marrying. Now, she is a housewife with a husband who works as a prosecutor. She meets Ha Wan Seung. He is a passionate detective and they decide to collaborate to solve cases.",,"{'', 'Kwon Sang Woo\nHa Wan Seung\nMain Role', 'Ahn Se Ha\n[Police Officer]\nSupporting Role', 'Kim Hyun Bin\nCha Hee Chul\nGuest Role', 'Lee Shi Won\nSupporting Role', 'Lee Won Geun\nHong Joon Oh\nSupporting Role', 'Supporting Role', 'Shim Wan Joon\nUnknown Role', 'Yang Ik Jun\nJang Do Jang\nSupporting Role', 'Song Soo Hyun\nYoo Seol Ok [Young]\nGuest Role', 'Kim Hyun Sook\nKyung Mi\nSupporting Role', 'Choi Kang Hee\nYoo Seol Ok\nMain Role', 'Jun Soo Jin\nKim Ho Soon\nSupporting Role', 'Lee Yoo Joon\nPark Won Hee\nSupporting Role', 'Jung Yeon Joo\nSupporting Role', 'Park Joon Geum\nMadame Park Yeo Sa\nSupporting Role', 'Lee Yong Nyeo\nSupporting Role', 'Ahn Kil Kang\nDetective Bae Kwang Tae\nSupporting Role', 'Kim Min Jae\nDetective Lee Dong Ki\nSupporting Role'}",Korean
Oh My Girl Miracle Expedition (2018),Two & Half Stars,"Drama , Game-Show , Kshow , Korean | Episode 10+","The Oh My Girl members, who were busy preparing for the comeback, getting invited on a secret trip. Through the unexpected trip, viewers will be able to see the natural sides of the Oh My Girl members and their warm friendship as they experience healing and eat and play to their hearts’ content. All the content for “Oh My Girl Miracle Expedition” was filmed in UHD and will be a special treatas it shows Oh My Girl enjoying the snow and beautiful scenery of the Gangwon province in high quality.",,not available,Korean
Catch Him to Survive (2016),Three Stars,"Movie , Comedy , School , Korean | 96 Min",This movie tells the story of the fast-paced pursuit that occurs when a fearless gang of high school students led by Won-tae steals something important from a top CEO with the alias “Two Swords” and homicide detective Jeong-taek.,,"{'', 'Jo Jae Wan\n[Cell phone shop owner]\nSupporting Role', 'Oh Man Suk\n[340 bus driver]\nSupporting Role', 'Supporting Role', 'Kang Nam Gil\n[National Police Agency commissioner]\nGuest Role', 'Jun Yeo Jin\n[Subway baby mother]\nGuest Role', 'Kim Min Kyu\nKim Tae Young\nSupporting Role', 'Kim Jung Tae\nDo Jung Taek\nMain Role', 'Jo Chang Geun\nJoong Do\nSupporting Role', 'Lee Seung Yeon\n[Teacher]\nSupporting Role', 'Ahn Kil Kang\nChairman Wang\nGuest Role', 'Hyuk\nHan Won Tae\nMain Role', 'Seo Beom Shik\nDriver Ahn\nSupporting Role', 'Kim Min Kyung\n[Cafe bread woman]\nGuest Role', 'Yoon Da Young\n[Secretary]\nGuest Role', 'Lee Han Wi\n[Detachment commander of police]\nGuest Role', 'Yang Myung Hun\nDetective Choi\nSupporting Role', 'Kim Seung Woo\nKim Seung Joo\nMain Role'}",Korean
Two Yoo Project Sugar Man: Season 2 (2018),Two & Half Stars,"Drama , Music , Korean | Episodes 10","'Two Yoo Project - Sugar Man' brings back guest artists, or 'Sugar Men', whose songs were once hits on major music charts, but who aren't active in the music industry anymore. The two MCs will then attempt the recreate the 'Sugar Men's hit songs in a modern version.",,"{'Joy\nRegular Member', 'Yoo Jae Suk\nMain Host', 'Yoo Hee Yeol\nMain Host', 'Park Na Rae\nRegular Member'}",Korean
Misty (2017),Three & Half Stars,"Drama , Comedy , Drama , Romance , Korean | Episodes 16","An popular anchorwoman, Go Hye Ran (Kim Nam Joo) is suspected of murder. Her husband, Kang Tae Wook (Ji Jin Hee) who is a prosecutor-turned-public defender, decides to defend her. Through the process of fighting the murder charge, the couple grows closer again.",,"{'Jin Ki Joo\nSupport Role', 'Kim Nam Joo\nGo Hye Ran\nMain Role', 'Go Joon\nSupport Role', 'Ji Jin Hee\nKang Tae Wook\nMain Role', 'Jun Hye Jin\nSupport Role', 'Mo Wan Il\nDirector'}",Korean
We Are the One (2018),Two & Half Stars,"Drama , Game-Show , Kshow , Korean | Episode 10+","Between strangers, between co-workers who see each other every day, and even within family, the lack of communication deters the possibility of finding a common ground and blocks the road to solution. In this program, participants send meals prepared with love and care to those with whom they are having a communication issue, along with a message from the heart.",,not available,Korean
Today Swag (2018),Three & Half Stars,"Drama , Game-Show , Kshow , Korean | Episodes 30+","Mr. Swagrovsky, the man known for his wealth, fame, and most importantly, swag, suddenly disappears, leaving a note that says that he hid his swag everywhere in the world. When Korea’s rapper hears this news, they embark on a journey in search of swag.",,not available,Korean
Return (2018),Three Stars,"Drama , Investigation , Mystery , Suspense , Thriller , Korean | Episodes 34","A mystery-thriller drama that centers around a murder in which privileged children of rich upper-class parents come up as suspects, which then dives into the search for the truth. Choi Jae Hye is a lawyer who grew up dirt-poor and is now the MC of a legal-themed TV show titled Return. Ja Hye gets assigned as the lead on this murder case, kicking off the story.",,"{'Jung Eun Chae\nGeum Na Ra\nSupport Role', 'Lee Jin Wook\nDokgo Young\nMain Role', 'Go Hyun Jung\nChoi Jae Hye\nMain Role', 'Shin Sung Rok\nOh Tae Suk\nMain Role', 'Park Ki Woong\nKang In Ho\nSupport Role'}",Korean
Level Up Project Season 2 (2018),Three Stars,"Drama , Game-Show , Kshow , Korean | Epispde 20+","Five lovely members of Red Velvet take a journey together to the scenic beach towns and islands in Namdo. After the trip filled with adventures and sweet bonding moments where friendship bloomed, the members watch the footage together and share behind stories and their feelings about the trip.",,not available,Korean
Cross (2018),Three & Half Stars,"Drama , Medical , Mystery , Korean | Episodes 16","Kang In Kyu (Go Gyung Pyo) ‘s father was brutally murdered 15 years ago. To take revenge on those who are responsible for his father’s death, he becomes a doctor. He volunteers at a prison medical office where the murdered is imprisoned.",,"{'', 'Support Role', 'Yang Jin Sung\nSon Yeon Hee\nSupport Role', 'Kim Ji Han\nLee Joo Hyuk\nSupport Role', 'Jang Gwang\nSupport Role', 'Woo Hyun\nSupport Role', 'Go Kyung Pyo\nKang In Kyu\nMain Role', 'Jun So Min\nGo Ji In\nMain Role', 'Yoo Seung Mok\nSupport Role', 'Heo Sung Tae\nSupport Role', 'Jo Jae Hyun\nGo Jung Hoon\nMain Role', 'Seo Woo Jin\nSupport Role'}",Korean
Radio Romance (2018),Three & Half Stars,"Drama , Romance , Korean | Episodes 16","The story begins with Top star Ji Soo Ho (Yoon Doo Joon) being trapped in a radio booth with Song Geu Rim (Kim So Hyun) for two hours during a live broadcast. Song Geu Rim works as a radio program writer. Her mother is blind and as a child she listened to the radio frequently with her. This led her to become a radio program writer, but she isn’t exactly talented in writing. Now, the radio program that she works on is facing cancellation. Song Geu Rim succeeds in casting top actor Ji Soo Ho, who can’t speak a single word unless it’s been scripted for him.",,"{'', 'Lee Won Jong\nKang Hee Seok\nSupport Role', 'Shim Eun Woo\nGamoom (drought)\nSupport Role', 'Support Role', 'Ryu Hye Rin\nTornado\nSupport Role', 'Kim Byung Se\nJi Yoon Seok\nSupport Role', 'Jun Yoo Rim\nJangma (rainy season)\nSupport Role', 'Kwak Dong Yeon\nJason\nSupport Role', 'Kim Hye Ji\nDa Seul\nSupport Role', 'Park Hyo Joo\nRa Ra Hee\nSupport Role', 'Yura\nJin Tae Ri\nSupport Role', 'Kim So Hyun\nSong Geu Rim\nMain Role', 'Yoon Joo Sang\nMoon Sung Woo\nSupport Role', 'Oh Hyun Kyung\nNam Joo Ha\nSupport Role', 'Yoon Doo Joon\nJi Soo Ho\nMain Role', 'Yoon Park\nLee Kang\nSupport Role', 'Ahn Do Kyu\nJi Soo Ho (young)\nGuest Role', 'Im Ji Kyu\nLee Seung Soo\nSupport Role', 'Lee Eui Woong\nWoo Ji Woo\nSupport Role', 'Jo Byung Kyoo\nKo Hoon Jung\nSupport Role'}",Korean
Night Goblin (2017),Three & Half Stars,"Drama , Game-Show , Kshow , Korean | Episodes 20+","Lee Soo-geun, Jeong Hyeong-don, Park Sung-kwang, Lee Hong-gi, and JR from NU’EST race to be the first one to arrive at the most popular destinations first for a prize every week. Cast members, or the “Night Goblins,” start the race at midnight where they must stay awake all night to get to the destination first the next morning.",,not available,Korean
The Best Moment To Quit Your Job (2017),Three Stars,"Drama , Comedy , Drama , Romance , Korean | Episodes 8","Four young women tackle life, love, and lies in their first jobs out of college. Good thing they have each other – and late-night bars – to get through it all.",,"{'Jung Yeon Joo\nMain Role', 'Go Won Hee\nYeon Ji\nMain Role', 'Jei\nMain Role', 'Lee Chung Ah\nSeon Hee\nMain Role'}",Korean
Man Who Sets the Table (2017),Three Stars,"Drama , Comedy , Romance , Korean | Episodes 50","Lee Roo Ri tries to get a job at big company, but she gives up. She doesn't have a good relationship with her strict father. Lee Roo Ri decides to travel to a foreign country to get away. There, she meets Jung Tae Yang who goes by the YOLO motto. He wanders around the world and places priority on his happiness, but he also carries an emotional wound. After she meets Jung Tae Yang, Lee Roo Ri has a turning point of her life.",,"{'Ohn Joo Wan\nJung Tae Yang\nMain Role', '', 'Park Jin Woo\nLee So Won\nMain Role', ""Lee Shi Eon\n[Roo Ri's ex-boyfriend]\nGuest Role"", 'Seo Hyo Rim\nHa Yeon Joo\nMain Role', 'Lee Se Young\n[Tae Yang’s friend]\nSupporting Role', 'Lee Il Hwa\nJung Hwa Young\nSupporting Role', ""Han Kap Soo\n[Roo Ri's father]\nSupporting Role"", ""Kim Mi Sook\n[Roo Ri's mother]\nSupporting Role"", 'Shim Hyung Tak\nGo Jung Do\nMain Role', 'Choi Soo Young\nLee Roo Ri\nMain Role', 'Main Role'}",Korean
Miracle That We Met (2018),Three Stars,"Drama , Fantasy , Melodrama , Romance , Korean | Episodes 16","A man dies in a car crash, but awakes with the spirit on another person. He becomes the head of two families and he agonizes over his two different wives.",,"{'', 'Choi Sung Won\nAssistant Manager Ha\nSupport Role', 'Hwang Geum Nyeo\nSupport Role', 'Kim Myung Min\nSong Hyun Cheol A\nMain Role', 'Kwak Hyo Joo\nSupport Role', 'Baek Mi Kyeong\nScreenwriter', 'Jun Suk Ho\nPark Dong Soo\nSupport Role', 'Jung Seok Yong\nYook Bang Woo\nSupport Role', 'Lee Hyung Min\nDirector', 'Song Hyun Cheol B\nSupport Role', 'Yoon Seok Hwa\nHwang Geum Nyeo\nSupport Role', 'Go Chang Seok\nSong Hyun Cheol B\nSupport Role', 'Kai\nAto\nSupport Role', 'Jung Han Yong\nKim Haeng Jang\nSupport Role', 'Lee Do Kyung\nSong Mo Dong\nSupport Role', 'Hwang Bo Ra\nSong Sa Ran\nSupport Role', 'Choi Byung Mo\nDdak Pool\nSupport Role', 'Kim Hyun Joo\nSun Hye Jin\nMain Role', 'Ra Mi Ran\nJo Yeon Hwa\nMain Role', 'Yoon Ji Hye\nKwak Hyo Joo\nSupport Role'}",Korean
Outrageous Roommates - Rooms Available (2017),Three Stars,"Drama , Game-Show , Kshow , Korean | Episodes 50+","Celebrities with completely different personalities try living together in one house as landlords and tenants. In this reality program, celebrity cast members must figure out a way to get along with each other while maintaining the landlord-tenant relationship.",,not available,Korean
Behind the White Tower (2007),Three Stars,"Drama , Medical , Korean | Episodes 50+","The story is about politics and power struggle among doctors at a hospital.Friends can switch allegience and enemies can turn supportive in split seconds. Dr.Jang Joon Hyeok (Kim Myung Min) was an ambitous surgeon who wanted nothing more than to be the department head when his boss retired.His effort was frustrated by his boss Dr. Lee who brought in Dr.Noh Min Guk (Cha In Pyo)from the States with the intention of lettinghim be the next department head. Dr. Lee's wife has also set her sight on Dr. Noh to be her future son-in-law whereas the daughter, Lee Yoon Jin (Song Sun Mi)has something else on her mind.Dr Choi Do Young (Lee Sun Gyun) was a good friend of Dr. Jang and he did not like to get involved in any of hospital's politics but only to concentrate on his work and heal patients.But when Dr. Jang was being sued by a patient's family for causing his death due to negligence, he joined force with Lee Yoon Jin to stand up for the patient's right at the risk of losing his post at the hospital and friendship.",,"{'', 'Park Kwang Jung\nPark Chang Shik\nSupport Role', 'Son Ho Gyun\nYoo Jung Jin\nSupport Role', ""Jung Young Sook\n[Joon Hyuk's Mother]\nSupport Role"", 'Kim Bo Kyung\nKang Hee Jae\nSupport Role', 'Son Byung Ho\nKim Hoon\nSupport Role', 'Han Sang Jin\nPark Geon Ha\nSupport Role', ""Im Sung Eon\nMin Soo Jung [Joon Hyuk's Wife]\nSupport Role"", 'Lee Seung Min\nHa Eun Hye\nSupport Role', 'Ahn Pan Seok\nDirector', 'Jung Kyung Ho', 'Kim Chang Wan\nWoo Yong Gil\nSupport Role', 'Lee Jung Gil\nLee Joo Wan\nSupport Role', 'Song Sun Mi\nLee Yoon Jin\nSupport Role', 'Kim Min Ju\nHa Eun Hye\nSupport Role', 'Cha In Pyo\nNo Min Kook\nSupport Role', 'Lee Hee Do\nYoo Pil Sang\nSupport Role', 'Jung Han Yong\nMin Choong Shik\nSupport Role', 'Kim Jung Hak', 'Kim Do Yeon', 'Park Hyeok Kwon\nHong Sang Il\nSupport Role', 'Choi Bum Ho\nKwon Soon Gil\nSupport Role'}",Korean
Talkmon (2018),Two & Half Stars,"Drama , Game-Show , Kshow , Korean | Episodes 20+","At Talkmon, ‘Master,’ a well-known master of talk shows, and ‘Monster,’ a talented novice to talk shows, form a team to have a 'talk show battle' with other teams. Discover new talents for the future of Korean variety shows!",,not available,Korean
Youn's Kitchen Season 2 (2017),Three & Half Stars,"Drama , Game-Show , Kshow , Korean | Episode 20+","On a beautiful and peaceful island of Spain, four people came to open a small Korean restaurant where everyone would feel welcomed. The show features a day-to-day operation of the restaurant and how people who run it and people who come to eat become one big family through good meals and conversations.",,not available,Korean
My Golden Life (2017),Three & Half Stars,"Drama , Business , Family , Korean | Episodes 52",About a woman who has a chance to rise in status and a man who finds happiness in her. Choi Dae Kyung is the only son of Haechung Group's president and also the director of the group strategic planning department.,,"{'Shin Hye Sun\nSeo Ji Ahn\nMain Role', 'Park Joo Hee\nSupporting Role', 'Lee Tae Sung\nSupporting Role', 'Park Shi Hoo\nChoi Do Kyung\nMain Role', 'Seo Eun Soo\nSeo Ji Soo\nMain Role', 'Jung So Young\nSupporting Role', 'Lee Tae Hwan\nSun Woo Hyuk\nMain Role', 'Chun Ho Jin\nSupporting Role', 'Lee Da In\nSupporting Role'}",Korean
Bad Guys: City of Evil (2017),Three Stars,"Drama , Action , Crime , Thriller , Korean | Episodes 20+",This drama is about a group of criminals are forced together to track down even worse villains.,,"{'Ji Soo\nHan Gang Joo\nMain Role', 'Choi Gwi Hwa\n Ha Sang Mo\nSupport Role', 'Yang Ik Jun\nJang Sung Cheol\nMain Role', 'Han Jung Hoon\nScreenwriter', 'Park Joong Hoon\nWoo Je Moon\nMain Role', 'Joo Jin Mo\nHeo Il Hoo\nMain Role', 'Kim Mu Yeol\nNoh Jin Pyung\nMain Role'}",Korean
